QID	title	coordinates	genreLabel	countryOriginLabel	pubDate	long	lat
Q181488	Gulliver's Travels	Point(-2.0 54.6)	satire	United Kingdom	1726-10-28	-2.0	54.6
Q16154159	Americanah	Point(8.0 9.0)	historical fiction	Nigeria	2013-05-14	8.0	9.0
Q132689	Casablanca	Point(-98.5795 39.828175)	flashback film	United States	1942-11-26	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	romance film	United States	1943-10-11	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	flashback film	United States	1942-01-01	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	war film	United States	1943-10-11	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	flashback film	United States	1943-01-23	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	romance film	United States	1942-11-26	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	film noir	United States	1943-10-11	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	war film	United States	1942-11-26	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	romance film	United States	1942-01-01	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	drama film	United States	1943-10-11	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	film noir	United States	1942-11-26	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	romance film	United States	1943-01-23	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	war film	United States	1942-01-01	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	drama film	United States	1942-11-26	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	film noir	United States	1942-01-01	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	war film	United States	1943-01-23	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	film noir	United States	1943-01-23	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	drama film	United States	1942-01-01	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	flashback film	United States	1943-10-11	-98.5795	39.828175
Q132689	Casablanca	Point(-98.5795 39.828175)	drama film	United States	1943-01-23	-98.5795	39.828175
Q8265	Dream of the Red Chamber	Point(103.0 38.0)	family saga	Qing dynasty	1868-01-01	103.0	38.0
Q8265	Dream of the Red Chamber	Point(103.0 38.0)	zhanghui novel	Qing dynasty	1868-01-01	103.0	38.0
Q8265	Dream of the Red Chamber	Point(103.0 38.0)	family saga	Qing dynasty	1800-01-01	103.0	38.0
Q8265	Dream of the Red Chamber	Point(103.0 38.0)	zhanghui novel	Qing dynasty	1800-01-01	103.0	38.0
Q8265	Dream of the Red Chamber	Point(103.0 38.0)	family saga	Qing dynasty	1792-01-01	103.0	38.0
Q8265	Dream of the Red Chamber	Point(103.0 38.0)	xiaoshuo	Qing dynasty	1868-01-01	103.0	38.0
Q8265	Dream of the Red Chamber	Point(103.0 38.0)	zhanghui novel	Qing dynasty	1792-01-01	103.0	38.0
Q8265	Dream of the Red Chamber	Point(103.0 38.0)	xiaoshuo	Qing dynasty	1800-01-01	103.0	38.0
Q8265	Dream of the Red Chamber	Point(103.0 38.0)	xiaoshuo	Qing dynasty	1792-01-01	103.0	38.0
Q40205	Cloud Atlas	Point(-2.0 54.6)	science fiction	United Kingdom	2004-03-01	-2.0	54.6
Q40205	Cloud Atlas	Point(-2.0 54.6)	post-apocalyptic fiction	United Kingdom	2004-03-01	-2.0	54.6
Q40205	Cloud Atlas	Point(-2.0 54.6)	fantasy	United Kingdom	2004-03-01	-2.0	54.6
Q40205	Cloud Atlas	Point(-2.0 54.6)	epistolary novel	United Kingdom	2004-03-01	-2.0	54.6
Q732022	Mr. Nobody	Point(2.0 47.0)	drama film	France	2010-07-08	2.0	47.0
Q732022	Mr. Nobody	Point(2.0 47.0)	fantasy film	France	2010-07-08	2.0	47.0
Q732022	Mr. Nobody	Point(2.0 47.0)	arthouse science fiction film	France	2010-01-13	2.0	47.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	comedy film	Belgium	2010-01-13	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	arthouse science fiction film	Belgium	2009-09-12	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	science fiction film	Belgium	2010-01-13	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(10.0 51.0)	romance film	Germany	2009-09-12	10.0	51.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	romance film	Canada	2009-09-12	-109.0	56.0
Q732022	Mr. Nobody	Point(2.0 47.0)	romance film	France	2010-01-13	2.0	47.0
Q732022	Mr. Nobody	Point(10.0 51.0)	drama film	Germany	2010-01-13	10.0	51.0
Q732022	Mr. Nobody	Point(10.0 51.0)	fantasy film	Germany	2010-01-13	10.0	51.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	drama film	Canada	2010-01-13	-109.0	56.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	fantasy film	Canada	2010-01-13	-109.0	56.0
Q732022	Mr. Nobody	Point(10.0 51.0)	comedy film	Germany	2009-09-12	10.0	51.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	romance film	Belgium	2009-09-12	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(-109.0 56.0)	comedy film	Canada	2009-09-12	-109.0	56.0
Q732022	Mr. Nobody	Point(10.0 51.0)	science fiction film	Germany	2009-09-12	10.0	51.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	science fiction film	Canada	2009-09-12	-109.0	56.0
Q732022	Mr. Nobody	Point(2.0 47.0)	comedy film	France	2010-01-13	2.0	47.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	drama film	Belgium	2010-01-13	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	fantasy film	Belgium	2010-01-13	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(2.0 47.0)	arthouse science fiction film	France	2009-09-12	2.0	47.0
Q732022	Mr. Nobody	Point(2.0 47.0)	science fiction film	France	2010-01-13	2.0	47.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	comedy film	Belgium	2009-09-12	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	science fiction film	Belgium	2009-09-12	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(-109.0 56.0)	romance film	Canada	2010-07-08	-109.0	56.0
Q732022	Mr. Nobody	Point(10.0 51.0)	comedy film	Germany	2010-07-08	10.0	51.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	romance film	Belgium	2010-07-08	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(-109.0 56.0)	comedy film	Canada	2010-07-08	-109.0	56.0
Q732022	Mr. Nobody	Point(10.0 51.0)	science fiction film	Germany	2010-07-08	10.0	51.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	science fiction film	Canada	2010-07-08	-109.0	56.0
Q732022	Mr. Nobody	Point(2.0 47.0)	romance film	France	2009-09-12	2.0	47.0
Q732022	Mr. Nobody	Point(10.0 51.0)	drama film	Germany	2009-09-12	10.0	51.0
Q732022	Mr. Nobody	Point(10.0 51.0)	fantasy film	Germany	2009-09-12	10.0	51.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	comedy film	Belgium	2010-07-08	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(-109.0 56.0)	drama film	Canada	2009-09-12	-109.0	56.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	fantasy film	Canada	2009-09-12	-109.0	56.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	science fiction film	Belgium	2010-07-08	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(2.0 47.0)	drama film	France	2010-01-13	2.0	47.0
Q732022	Mr. Nobody	Point(2.0 47.0)	fantasy film	France	2010-01-13	2.0	47.0
Q732022	Mr. Nobody	Point(2.0 47.0)	comedy film	France	2009-09-12	2.0	47.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	drama film	Belgium	2009-09-12	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	fantasy film	Belgium	2009-09-12	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(2.0 47.0)	science fiction film	France	2009-09-12	2.0	47.0
Q732022	Mr. Nobody	Point(10.0 51.0)	drama film	Germany	2010-07-08	10.0	51.0
Q732022	Mr. Nobody	Point(10.0 51.0)	fantasy film	Germany	2010-07-08	10.0	51.0
Q732022	Mr. Nobody	Point(10.0 51.0)	arthouse science fiction film	Germany	2010-01-13	10.0	51.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	drama film	Canada	2010-07-08	-109.0	56.0
